MapVersion,SectionId,FromAddressId,ToAddressId,SectionPosition,AllowVehiclePosition,AllowCargoPosition,VehicleSpeedUnload,VehicleSpeedLoaded,VehicleSpeedEnforce
2025112001,10487,107010600,107010700,0,0/180,0/180,1200,1000,0
2025112001,10905,107010700,107010600,180,0/180,0/180,1200,1000,0
2025112001,10489,107010400,107010300,180,0/180,0/180,1200,1000,0
2025112001,10885,107010300,107010400,0,0/180,0/180,1200,1000,0
2025112001,10497,107010200,107010300,0,0/180,0/180,1200,1000,0
2025112001,10886,107010300,107010200,180,0/180,0/180,1200,1000,0
2025112001,10495,107010200,107010100,180,0/180,0/180,1200,1000,0
2025112001,10500,107010100,107010200,0,0/180,0/180,1200,1000,0
2025112001,10853,106209600,105809600,270,90/270,90/270,1200,1000,0
2025112001,10543,107008400,107008500,0,0/180,0/180,1200,1000,0
2025112001,10804,107008500,107008400,180,0/180,0/180,1200,1000,0
2025112001,10540,107008400,107008200,180,0/180,0/180,1200,1000,0
2025112001,10560,107008200,107008400,0,0/180,0/180,1200,1000,0
2025112001,11332,106207000,105807000,270,90/270,90/270,1200,1000,0
2025112001,10840,106807000,106507000,270,90/270,90/270,1200,1000,0
2025112001,10817,107206000,107205800,180,0/180,0/180,1200,1000,0
2025112001,10587,107205800,107206000,0,0/180,0/180,1200,1000,0
2025112001,10598,107004800,107005100,0,0/180,0/180,1200,1000,0
2025112001,10963,107005100,107004800,180,0/180,0/180,1200,1000,0
2025112001,10385,105005800,105006000,0,0/180,90/270,1200,1000,0
2025112001,10633,105006000,105005800,180,0/180,90/270,1200,1000,0
2025112001,10386,105005800,105405800,90,90/270,90/270,1200,1000,0
2025112001,11294,105405800,105005800,270,90/270,90/270,1200,1000,0
2025112001,10365,104405800,105005800,90,90/270,90/270,1200,1000,0
2025112001,10631,105005800,104405800,270,90/270,90/270,1200,1000,0
2025112001,11029,104405600,105105600,90,90/270,90/270,1200,1000,0
2025112001,11035,105105600,104405600,270,90/270,90/270,1200,1000,0
2025112001,11031,105105600,105405600,90,90/270,90/270,1200,1000,0
2025112001,11055,105405600,105105600,270,90/270,90/270,1200,1000,0
2025112001,10355,104006000,104005800,180,0/180,90/270,1200,1000,0
2025112001,10357,104005800,104006000,0,0/180,90/270,1200,1000,0
2025112001,10360,104005800,104005600,180,0/180,90/270,1200,1000,0
2025112001,11024,104005600,104005800,0,0/180,90/270,1200,1000,0
2025112001,10395,105205200,105204700,180,0/180,90/270,1200,1000,0
2025112001,10406,105204700,105205200,0,0/180,90/270,1200,1000,0
2025112001,10397,104305200,104304700,180,0/180,90/270,1200,1000,0
2025112001,10398,104305200,104905200,90,90/270,90/270,1200,1000,0
2025112001,10399,104305200,104105200,270,90/270,90/270,1200,1000,0
2025112001,10405,104304700,104305200,0,0/180,90/270,1200,1000,0
2025112001,10642,104905200,104305200,270,90/270,90/270,1200,1000,0
2025112001,10643,104105200,104305200,90,90/270,90/270,1200,1000,0
2025112001,11137,102907300,102807300,270,90/270,90/270,1200,1000,0
2025112001,11138,102907300,103007300,90,90/270,90/270,1200,1000,0
2025112001,11139,102907300,102907600,0,0/180,90/270,1200,1000,0
2025112001,11147,102807300,102907300,90,90/270,90/270,1200,1000,0
2025112001,11151,103007300,102907300,270,90/270,90/270,1200,1000,0
2025112001,11154,102907600,102907300,180,0/180,90/270,1200,1000,0
2025112001,11152,103007300,103007200,180,0/180,90/270,1200,1000,0
2025112001,11272,103007200,103007300,0,0/180,90/270,1200,1000,0
2025112001,10255,103006600,103007200,0,0/180,90/270,1200,1000,0
2025112001,11271,103007200,103006600,180,0/180,90/270,1200,1000,0
2025112001,10251,103006000,103006600,0,0/180,90/270,1200,1000,0
2025112001,10253,103006600,103006000,180,0/180,90/270,1200,1000,0
2025112001,10250,103006000,103005800,180,0/180,90/270,1200,1000,0
2025112001,10247,103005800,103006000,0,0/180,90/270,1200,1000,0
2025112001,10248,103005800,103005600,180,0/180,0/90/180/270,1200,1000,0
2025112001,10260,103005600,103005800,0,0/180,0/90/180/270,1200,1000,0
2025112001,10267,103005400,103005600,0,0/180,0/90/180/270,1200,1000,0
2025112001,10262,103005600,103005400,180,0/180,0/90/180/270,1200,1000,0
2025112001,10269,103005400,103005200,180,0/180,0/90/180/270,1200,1000,0
2025112001,10274,103005200,103005400,0,0/180,0/90/180/270,1200,1000,0
2025112001,11310,103004500,103005200,0,0/180,0/90/180/270,1200,1000,0
2025112001,11315,103005200,103004500,180,0/180,0/90/180/270,1200,1000,0
2025112001,11065,103105400,103305400,90,90/270,0/90/180/270,1200,1000,0
2025112001,11069,103305400,103105400,270,90/270,0/90/180/270,1200,1000,0
2025112001,11073,103105200,103305200,90,90/270,0/90/180/270,1200,1000,0
2025112001,11076,103305200,103105200,270,90/270,0/90/180/270,1200,1000,0
2025112001,10266,102805400,102805200,180,0/180,0/180,1200,1000,0
2025112001,10271,102805200,102805400,0,0/180,0/180,1200,1000,0
2025112001,11313,102804500,102805200,0,0/180,0/180,1200,1000,0
2025112001,11315,103005200,103004500,180,0/180,0/90/180/270,1200,1000,0
2025112001,11145,102607300,102807300,90,90/270,90/270,1200,1000,0
2025112001,11148,102807300,102607300,270,90/270,90/270,1200,1000,0
2025112001,11146,102607300,102407300,270,90/270,90/270,1200,1000,0
2025112001,11260,102407300,102607300,90,90/270,90/270,1200,1000,0
2025112001,11149,102807300,102807200,180,0/180,90/270,1200,1000,0
2025112001,11275,102807200,102807300,0,0/180,90/270,1200,1000,0
2025112001,10972,102806600,102807200,0,0/180,90/270,1200,1000,0
2025112001,11274,102807200,102806600,180,0/180,90/270,1200,1000,0
2025112001,10971,102806600,102806000,180,0/180,90/270,1200,1000,0
2025112001,11192,102806000,102806600,0,0/180,90/270,1200,1000,0
2025112001,10245,102805800,102806000,0,0/180,90/270,1200,1000,0
2025112001,11190,102806000,102805800,180,0/180,90/270,1200,1000,0
2025112001,10345,102405800,102605800,90,90/270,0/180,1200,1000,0
2025112001,10952,102605800,102405800,270,90/270,0/180,1200,1000,0
2025112001,10942,102405600,102605600,90,90/270,0/180,1200,1000,0
2025112001,10955,102605600,102405600,270,90/270,0/180,1200,1000,0
2025112001,10938,102105600,102405600,90,90/270,0/180,1200,1000,0
2025112001,10941,102405600,102105600,270,90/270,0/180,1200,1000,0
2025112001,10940,102405600,102405800,0,0/180,0/180,1200,1000,0
2025112001,10344,102405800,102405600,180,0/180,0/180,1200,1000,0
2025112001,10339,102105800,102405800,90,90/270,0/180,1200,1000,0
2025112001,10343,102405800,102105800,270,90/270,0/180,1200,1000,0
2025112001,11382,102406400,102406700,0,0/180,0/180,1200,1000,0
2025112001,11222,102406700,102106700,270,90/270,0/180,1200,1000,0
2025112001,11127,101207300,101407300,90,90/270,90/270,1200,1000,0
2025112001,11250,101407300,101207300,270,90/270,90/270,1200,1000,0
2025112001,11131,101407300,101607300,90,90/270,90/270,1200,1000,0
2025112001,11253,101607300,101407300,270,90/270,90/270,1200,1000,0
2025112001,11388,101306400,101306100,180,0/180,0/180,1200,1000,0
2025112001,11185,101306100,101305900,180,0/180,0/180,1200,1000,0
2025112001,11371,101305900,101305800,180,0/180,0/180,1200,1000,0
2025112001,10329,101305800,101305600,180,0/180,0/180,1200,1000,0
2025112001,10928,101305600,101305800,0,0/180,0/180,1200,1000,0
2025112001,11189,100705800,100905800,90,90/270,0/180,1200,1000,0
2025112001,11194,100905800,100705800,270,90/270,0/180,1200,1000,0
2025112001,10944,100805600,100905600,90,90/270,0/180,1200,1000,0
2025112001,10965,100905600,100805600,270,90/270,0/180,1200,1000,0
2025112001,10117,100609700,100409700,270,90/270,0/180,1200,1000,0
2025112001,10161,100409700,100609700,90,90/270,0/180,1200,1000,0
2025112001,10162,100409700,100409400,180,0/180,0/180,1200,1000,0
2025112001,10189,100409400,100409700,0,0/180,0/180,1200,1000,0
2025112001,10165,100609100,100609400,0,0/180,0/180,1200,1000,0
2025112001,10186,100609400,100609100,180,0/180,0/180,1200,1000,0
2025112001,10179,100308600,100408600,90,90/270,0/180,1200,1000,0
2025112001,10182,100408600,100308600,270,90/270,0/180,1200,1000,0
2025112001,10100,100408000,100608000,90,90/270,0/180,1200,1000,0
2025112001,10136,100608000,100408000,270,90/270,0/180,1200,1000,0
2025112001,10056,100407200,100407500,0,0/180,0/180,1200,1000,0
2025112001,10109,100407500,100407200,180,0/180,0/180,1200,1000,0
2025112001,10031,100406300,100406000,180,0/180,0/180,1200,1000,0
2025112001,10063,100406000,100406300,0,0/180,0/180,1200,1000,0
2025112001,10047,100405200,100405400,0,0/180,0/180,1200,1000,0
2025112001,10082,100405400,100405200,180,0/180,0/180,1200,1000,0
